Sr No._x,Reference No (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Prefix,Bond Number,Denominations_x,Issue Branch Code,Issue Teller,Status,Sr No._y,Date of Encashment ,Name of the Political Party,Account no. of Political Party,Denominations_y,Pay Branch Code,Pay Teller
45,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,4632,10000000,1,5899230,Paid,1885,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
46,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6284,10000000,1,5899230,Paid,1886,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
47,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6254,10000000,1,5899230,Paid,1887,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
48,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6292,10000000,1,5899230,Paid,1888,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
49,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6268,10000000,1,5899230,Paid,1889,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
50,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6258,10000000,1,5899230,Paid,1890,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
51,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6253,10000000,1,5899230,Paid,1891,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
52,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6293,10000000,1,5899230,Paid,1892,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
53,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6281,10000000,1,5899230,Paid,1893,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
54,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6264,10000000,1,5899230,Paid,1894,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
55,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6288,10000000,1,5899230,Paid,1895,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
56,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6300,10000000,1,5899230,Paid,1896,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
57,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6269,10000000,1,5899230,Paid,1897,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
58,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,4598,10000000,1,5899230,Paid,1898,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
59,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6263,10000000,1,5899230,Paid,1899,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
60,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6270,10000000,1,5899230,Paid,1900,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
61,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6283,10000000,1,5899230,Paid,1901,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
62,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6299,10000000,1,5899230,Paid,1902,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
63,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6271,10000000,1,5899230,Paid,1903,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
64,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6252,10000000,1,5899230,Paid,1904,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
65,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6282,10000000,1,5899230,Paid,1905,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
66,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6259,10000000,1,5899230,Paid,1906,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
67,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6295,10000000,1,5899230,Paid,1907,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
68,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6260,10000000,1,5899230,Paid,1908,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
69,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6255,10000000,1,5899230,Paid,1909,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
70,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6265,10000000,1,5899230,Paid,1910,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
71,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6285,10000000,1,5899230,Paid,1911,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
72,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6289,10000000,1,5899230,Paid,1912,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
73,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6291,10000000,1,5899230,Paid,1913,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
74,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6294,10000000,1,5899230,Paid,1914,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
75,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6287,10000000,1,5899230,Paid,1915,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
76,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11440,1000000,1,5899230,Paid,2005,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
77,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11437,1000000,1,5899230,Paid,2006,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
78,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11439,1000000,1,5899230,Paid,2007,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
79,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11445,1000000,1,5899230,Paid,2008,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
80,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11438,1000000,1,5899230,Paid,2009,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
81,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11432,1000000,1,5899230,Paid,2010,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
82,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11444,1000000,1,5899230,Paid,2011,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
83,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11443,1000000,1,5899230,Paid,2012,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
84,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11446,1000000,1,5899230,Paid,2013,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
85,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11442,1000000,1,5899230,Paid,2014,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
86,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7045,10000000,300,4180496,Paid,1777,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
87,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7041,10000000,300,4180496,Paid,1778,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
88,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7025,10000000,300,4180496,Paid,1779,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
89,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7051,10000000,300,4180496,Paid,1780,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
90,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7035,10000000,300,4180496,Paid,1781,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
91,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7059,10000000,300,4180496,Paid,1782,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
92,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7037,10000000,300,4180496,Paid,1783,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
93,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7033,10000000,300,4180496,Paid,1784,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
94,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7053,10000000,300,4180496,Paid,1785,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
95,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7061,10000000,300,4180496,Paid,1786,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
96,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7029,10000000,300,4180496,Paid,1787,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
97,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7049,10000000,300,4180496,Paid,1788,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
98,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7057,10000000,300,4180496,Paid,1789,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
99,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7043,10000000,300,4180496,Paid,1790,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
100,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7039,10000000,300,4180496,Paid,1791,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
101,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7047,10000000,300,4180496,Paid,1792,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
102,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7027,10000000,300,4180496,Paid,1793,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
103,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7055,10000000,300,4180496,Paid,1794,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
104,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7031,10000000,300,4180496,Paid,1795,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
105,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7023,10000000,300,4180496,Paid,1796,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
106,5.09e+20,12-Apr-19,12-Apr-19,26-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,TL,3410,1000000,509,7315678,Paid,2769,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
107,5.09e+20,12-Apr-19,12-Apr-19,26-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,TL,3407,1000000,509,7315678,Paid,2770,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
108,5.09e+20,12-Apr-19,12-Apr-19,26-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,TL,3412,1000000,509,7315678,Paid,2771,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
109,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,TL,11557,1000000,1,5899230,Paid,2251,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,1000000,1,3476510
110,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,TL,11558,1000000,1,5899230,Paid,2252,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,1000000,1,3476510
111,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1133,100000,1,5899230,Paid,2263,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
112,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1127,100000,1,5899230,Paid,2264,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
113,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1131,100000,1,5899230,Paid,2265,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
114,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1130,100000,1,5899230,Paid,2266,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
115,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1132,100000,1,5899230,Paid,2267,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
116,7.82e+19,12-Apr-19,12-Apr-19,26-Apr-19,KAMLANG SAW & VENEER MILLS PVT LTD,TL,2344,1000000,78,7601204,Paid,2571,23-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
117,7.82e+19,12-Apr-19,12-Apr-19,26-Apr-19,KAMLANG SAW & VENEER MILLS PVT LTD,TL,2341,1000000,78,7601204,Paid,2572,23-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
118,8.47e+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5485,10000000,847,8424020,Paid,862,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
119,8.47e+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5465,10000000,847,8424020,Paid,863,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
120,8.47e+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5497,10000000,847,8424020,Paid,864,16-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,4567455
